week_of,keyword,device,group,planned_page,ranking_page,position_latest,median_7d,median_prior_7d,gsc_impressions_28d,ai_overview_on_page,testing_com_in_ai_overview,signals
2026-09-25,antimitochondrial antibody test,phone,next-in-line,/tests/antimitochondrial-antibody-and-ama-m2/,/tests/antimitochondrial-antibody-and-ama-m2/,2,2,,72,yes,yes,
2026-09-25,antimitochondrial antibody test,desktop,next-in-line,/tests/antimitochondrial-antibody-and-ama-m2/,/tests/antimitochondrial-antibody-and-ama-m2/,11,,,72,yes,yes,
2026-09-25,apo b test,phone,kept,/tests/apo-b/,,,101,,1610,yes,yes,
2026-09-25,apo b test,desktop,kept,/tests/apo-b/,/tests/apo-b/,11,,,1610,yes,yes,
2026-09-25,apob test,phone,selling-test-page,/tests/apo-b/,/tests/apo-b/,14,14,,1868,yes,yes,refresh
2026-09-25,apob test,desktop,selling-test-page,/tests/apo-b/,/tests/apo-b/,13,,,1868,yes,yes,
2026-09-25,apoe genotype test,phone,kept,/tests/apoe-genotyping-cardiovascular-disease/,/tests/apoe-genotyping-alzheimer-disease/,18,18,,115,yes,yes,other page ranks
2026-09-25,apoe genotype test,desktop,kept,/tests/apoe-genotyping-cardiovascular-disease/,,,,,115,yes,yes,
2026-09-25,apoe4 test,desktop,leaving,/tests/apoe-genotyping-alzheimer-disease/,/tests/apoe-genotyping-cardiovascular-disease/,85,,,50,yes,yes,
2026-09-25,apolipoprotein,phone,selling-test-page,/tests/apo-b/,/tests/apo-b/,26,26,,0,yes,no,
2026-09-25,apolipoprotein,desktop,selling-test-page,/tests/apo-b/,,,,,0,yes,no,
2026-09-25,apolipoprotein a1,phone,next-in-line,/tests/apo-i/,/tests/apo-i/,11,11,,2653,yes,no,refresh
2026-09-25,apolipoprotein a1,desktop,next-in-line,/tests/apo-i/,/tests/apo-i/,11,,,2653,yes,no,
2026-09-25,apolipoprotein b,phone,selling-test-page,/tests/apo-b/,/tests/apo-b/,14,14,,155,yes,no,
2026-09-25,apolipoprotein b,desktop,selling-test-page,/tests/apo-b/,/tests/apo-b/,26,,,155,yes,no,
2026-09-25,apolipoprotein b100,phone,kept,/tests/apo-b/,/tests/apo-b/,12,12,,28,yes,no,
2026-09-25,apolipoprotein b100,desktop,kept,/tests/apo-b/,,,,,28,yes,yes,
2026-09-25,apolipoprotein test,phone,kept,/tests/apo-b/,/tests/apo-b/,13,13,,34,yes,no,
2026-09-25,apolipoprotein test,desktop,kept,/tests/apo-b/,/tests/apo-b/,23,,,34,yes,no,
2026-09-25,apple allergy test,phone,not-ranking-yet,/tests/apple-allergy-test/,/tests/apple-allergy-test/,3,3,,3,no,no,
2026-09-25,apple allergy test,desktop,not-ranking-yet,/tests/apple-allergy-test/,/tests/apple-allergy-test/,5,,,3,no,no,
2026-09-25,aptt,phone,kept,/tests/partial-thromboplastin-time-ptt-aptt/,/tests/partial-thromboplastin-time-ptt-aptt/,27,27,,100,yes,no,
2026-09-25,aptt,desktop,kept,/tests/partial-thromboplastin-time-ptt-aptt/,/tests/partial-thromboplastin-time-ptt-aptt/,27,,,100,yes,no,
2026-09-25,arthritis test,phone,category,/arthritis-testing/,/rheumatoid-arthritis-testing/,60,60,,61,yes,yes,other page ranks
2026-09-25,arthritis test,desktop,category,/arthritis-testing/,/rheumatoid-arthritis-testing/,58,,,61,yes,yes,
2026-09-25,aspartate aminotransferase,phone,next-in-line,/tests/aspartate-aminotransferase-ast/,/tests/aspartate-aminotransferase-ast/,10,10,,12963,yes,no,refresh
2026-09-25,aspartate aminotransferase,desktop,next-in-line,/tests/aspartate-aminotransferase-ast/,,,,,12963,yes,no,
2026-09-25,ast,phone,next-in-line,/tests/aspartate-aminotransferase-ast/,,,101,,32150,yes,yes,
2026-09-25,ast,desktop,next-in-line,/tests/aspartate-aminotransferase-ast/,,,,,32150,yes,yes,
2026-09-25,atorvastatin labs to monitor,phone,selling-test-page,/tests/statin-check-up-panel/,/tests/statin-check-up-panel/,6,6,,90,yes,yes,
2026-09-25,atorvastatin labs to monitor,desktop,selling-test-page,/tests/statin-check-up-panel/,/tests/statin-check-up-panel/,6,,,90,yes,yes,
2026-09-25,auto wbc,phone,next-in-line,/tests/white-blood-cell-wbc-differential/,/tests/white-blood-cell-wbc-differential/,22,22,,383,yes,no,
2026-09-25,auto wbc,desktop,next-in-line,/tests/white-blood-cell-wbc-differential/,/tests/white-blood-cell-wbc-differential/,21,,,383,yes,no,
2026-09-25,auto wbc blood test,phone,next-in-line,/tests/white-blood-cell-count-wbc/,/tests/white-blood-cell-wbc-differential/,30,30,,176,yes,no,other page ranks
2026-09-25,auto wbc blood test,desktop,next-in-line,/tests/white-blood-cell-count-wbc/,/tests/white-blood-cell-wbc-differential/,31,,,176,yes,no,
2026-09-25,autoimmune panel,phone,next-in-line,/tests/autoimmune-panel/,/tests/autoimmune-panel/,3,3,,635,yes,yes,
2026-09-25,autoimmune panel,desktop,next-in-line,/tests/autoimmune-panel/,/tests/autoimmune-panel/,2,,,635,yes,yes,
2026-09-25,avocado allergy test,phone,not-ranking-yet,/tests/avocado-allergy-test/,/tests/avocado-allergy-test/,15,15,,0,yes,no,
2026-09-25,avocado allergy test,desktop,not-ranking-yet,/tests/avocado-allergy-test/,,,,,0,yes,no,
2026-09-25,b vitamins,phone,next-in-line,/tests/b-vitamins/,,,101,,288,yes,no,
2026-09-25,b vitamins,desktop,next-in-line,/tests/b-vitamins/,,,,,288,yes,no,
